id_client;age;sexe;formule;date_demande;usage_vehicule;age_vehicule;type_vehicule;points_perdus;type_conduite;présence d'enfants;intrevalles _revenus;intevalles_devis;conduite _accompagne
127724292;25;F;dev_integral;22/03/2022;Private;1;Sports Car;0;z_Highly Rural/ Rural;Non;0-50k;0€-300€;Non
127724299;45;F;dev_integral;22/04/2022;Private;1;z_SUV;5;Highly Urban/ Urban;Non;50k-100k;0€-300€;Non
127724306;55;F;dev_vip;23/03/2022;Private;1;z_SUV;0;Highly Urban/ Urban;Non;50k-100k;600€-900€;Non
127724313;17;F;dev_premium;12/02/2022;Private;17;z_SUV;0;Highly Urban/ Urban;Non;100k-150k;300€-600€;Non
127724320;50;F;dev_express;14/01/2022;Private;1;z_SUV;0;Highly Urban/ Urban;Oui;0-50k;0€-300€;Non
127724327;40;M;dev_integral;09/04/2022;Commercial;5;Minivan;6;z_Highly Rural/ Rural;Oui;0-50k;300€-600€;Non
127724334;67;F;dev_express;23/03/2022;Private;9;z_SUV;3;Highly Urban/ Urban;Non;100k-150k;0€-300€;Non
127724341;6;M;dev_premium;04/02/2022;Private;6;z_SUV;2;z_Highly Rural/ Rural;Non;0-50k;300€-600€;Non
127724348;46;M;dev_express;05/02/2022;Private;12;Sports Car;0;Highly Urban/ Urban;Oui;50k-100k;0€-300€;Oui
127724355;70;F;dev_integral;08/02/2022;Private;9;z_SUV;0;Highly Urban/ Urban;Non;0-50k;300€-600€;Non
127724362;62;F;dev_express;06/02/2022;Commercial;15;Sports Car;0;Highly Urban/ Urban;Non;0-50k;0€-300€;Non
127724369;8;F;dev_integral;09/02/2022;Private;14;z_SUV;2;Highly Urban/ Urban;Oui;50k-100k;0€-300€;Non
127724376;57;F;dev_integral;26/05/2022;Private;15;Minivan;0;Highly Urban/ Urban;Non;150k-200k;0€-300€;Non
127724383;36;M;dev_premium;04/03/2022;Private;11;z_SUV;1;z_Highly Rural/ Rural;Non;50k-100k;300€-600€;Non
127724390;20;F;dev_express;31/05/2022;Private;10;Sports Car;0;Highly Urban/ Urban;Oui;0-50k;0€-300€;Oui
127724397;87;F;dev_express;30/04/2022;Private;8;z_SUV;5;Highly Urban/ Urban;Oui;0-50k;0€-300€;Non
127724404;60;M;dev_express;20/03/2022;Commercial;10;Pickup;0;Highly Urban/ Urban;Oui;0-50k;0€-300€;Non
127724411;59;F;dev_premium;02/04/2022;Private;10;Pickup;0;Highly Urban/ Urban;Oui;50k-100k;300€-600€;Oui
127724418;53;M;dev_integral;02/01/2022;Private;13;z_SUV;0;Highly Urban/ Urban;Non;50k-100k;300€-600€;Non
127724425;67;F;dev_express;24/02/2022;Private;15;z_SUV;4;Highly Urban/ Urban;Non;50k-100k;0€-300€;Non
127724432;78;M;dev_express;05/04/2022;Private;1;z_SUV;1;Highly Urban/ Urban;Oui;0-50k;0€-300€;Non
127724439;43;F;dev_integral;21/02/2022;Commercial;13;Panel Truck;1;Highly Urban/ Urban;Non;100k-150k;300€-600€;Non
127724446;78;M;dev_integral;21/03/2022;Commercial;7;Van;0;Highly Urban/ Urban;Non;50k-100k;0€-300€;Non
127724453;40;F;dev_integral;03/04/2022;Private;1;Van;1;z_Highly Rural/ Rural;Oui;50k-100k;0€-300€;Oui
127724460;26;F;dev_integral;28/03/2022;Commercial;1;Pickup;7;Highly Urban/ Urban;Non;0-50k;300€-600€;Non
127724467;50;F;dev_express;21/03/2022;Private;5;Minivan;1;Highly Urban/ Urban;Oui;0-50k;0€-300€;Non
127724474;20;M;dev_express;23/05/2022;Private;7;Minivan;0;Highly Urban/ Urban;Non;100k-150k;0€-300€;Non
127724481;49;F;dev_express;03/05/2022;Private;19;Sports Car;0;Highly Urban/ Urban;Non;50k-100k;0€-300€;Non
127724488;7;F;dev_express;11/04/2022;Commercial;8;Minivan;5;z_Highly Rural/ Rural;Non;50k-100k;0€-300€;Non
127724495;50;M;dev_premium;05/01/2022;Private;13;Van;0;Highly Urban/ Urban;Non;50k-100k;300€-600€;Non
127724502;57;F;dev_integral;14/05/2022;Commercial;9;Van;4;Highly Urban/ Urban;Oui;0-50k;0€-300€;Non
127724509;34;M;dev_express;20/04/2022;Private;12;z_SUV;2;Highly Urban/ Urban;Non;50k-100k;0€-300€;Non
127724516;74;F;dev_express;22/01/2022;Private;1;Van;0;Highly Urban/ Urban;Oui;0-50k;0€-300€;Oui
127724523;32;F;dev_express;26/04/2022;Private;7;Sports Car;1;Highly Urban/ Urban;Oui;0-50k;0€-300€;Oui
127724530;73;F;dev_integral;23/03/2022;Private;16;Minivan;0;Highly Urban/ Urban;Non;50k-100k;0€-300€;Non
127724537;55;F;dev_express;27/04/2022;Private;8;Pickup;0;Highly Urban/ Urban;Non;0-50k;0€-300€;Non
127724544;71;F;dev_integral;24/05/2022;Commercial;5;Van;0;Highly Urban/ Urban;Oui;50k-100k;0€-300€;Non
127724551;81;F;dev_express;09/05/2022;Private;1;Sports Car;0;Highly Urban/ Urban;Oui;0-50k;0€-300€;Non
127724558;5;F;dev_integral;22/04/2022;Private;6;z_SUV;0;Highly Urban/ Urban;Non;0-50k;0€-300€;Non
127724565;52;M;dev_express;17/05/2022;Private;1;z_SUV;5;Highly Urban/ Urban;Non;50k-100k;0€-300€;Non
127724572;70;M;dev_express;01/05/2022;Private;7;Pickup;0;Highly Urban/ Urban;Non;50k-100k;0€-300€;Non
127724579;52;M;dev_express;29/05/2022;Private;5;Minivan;3;z_Highly Rural/ Rural;Non;0-50k;0€-300€;Non
127724586;73;M;dev_express;04/04/2022;Private;13;z_SUV;2;Highly Urban/ Urban;Oui;0-50k;0€-300€;Non
127724593;25;F;dev_integral;27/01/2022;Commercial;3;Pickup;1;Highly Urban/ Urban;Non;50k-100k;300€-600€;Non
127724600;4;F;dev_integral;13/01/2022;Private;9;z_SUV;0;Highly Urban/ Urban;Non;50k-100k;300€-600€;Non
127724607;35;M;dev_express;08/01/2022;Private;12;z_SUV;2;Highly Urban/ Urban;Non;150k-200k;0€-300€;Non
127724614;10;M;dev_integral;05/04/2022;Private;9;Minivan;2;Highly Urban/ Urban;Non;50k-100k;0€-300€;Non
127724621;81;F;dev_premium;14/02/2022;Private;9;Minivan;2;z_Highly Rural/ Rural;Oui;50k-100k;300€-600€;Non
127724628;80;M;dev_express;14/01/2022;Private;8;Pickup;0;Highly Urban/ Urban;Non;0-50k;0€-300€;Non
127724635;30;F;dev_integral;20/04/2022;Private;18;z_SUV;1;Highly Urban/ Urban;Non;100k-150k;300€-600€;Non
127724642;73;F;dev_express;10/05/2022;Commercial;1;Minivan;5;Highly Urban/ Urban;Non;50k-100k;0€-300€;Non
127724649;53;M;dev_premium;24/01/2022;Commercial;11;Panel Truck;4;Highly Urban/ Urban;Non;0-50k;300€-600€;Non
127724656;53;F;dev_express;01/02/2022;Private;6;Minivan;4;Highly Urban/ Urban;Non;0-50k;0€-300€;Non
127724663;62;M;dev_premium;20/04/2022;Private;1;Minivan;1;Highly Urban/ Urban;Non;100k-150k;300€-600€;Non
127724670;84;M;dev_express;02/01/2022;Private;3;Sports Car;0;z_Highly Rural/ Rural;Non;0-50k;0€-300€;Non
127724677;64;M;dev_express;18/02/2022;Commercial;8;Van;0;z_Highly Rural/ Rural;Non;100k-150k;0€-300€;Non
127724684;65;F;dev_express;27/04/2022;Commercial;4;z_SUV;0;Highly Urban/ Urban;Oui;0-50k;0€-300€;Non
127724691;64;M;dev_express;09/05/2022;Private;4;Sports Car;1;z_Highly Rural/ Rural;Non;0-50k;0€-300€;Non
127724698;62;M;dev_express;14/01/2022;Commercial;8;Pickup;2;Highly Urban/ Urban;Non;50k-100k;0€-300€;Non
127724705;42;M;dev_express;30/03/2022;Private;9;Minivan;0;Highly Urban/ Urban;Non;0-50k;0€-300€;Non
127724712;54;M;dev_premium;25/01/2022;Private;17;Minivan;0;Highly Urban/ Urban;Non;0-50k;300€-600€;Non
127724719;23;F;dev_express;28/05/2022;Private;1;z_SUV;0;z_Highly Rural/ Rural;Oui;0-50k;0€-300€;Oui
127724726;50;M;dev_premium;12/02/2022;Private;13;Minivan;0;Highly Urban/ Urban;Non;0-50k;300€-600€;Non
127724733;58;M;dev_integral;11/01/2022;Private;2;Sports Car;0;z_Highly Rural/ Rural;Oui;0-50k;0€-300€;Non
127724740;81;M;dev_express;15/04/2022;Commercial;1;Minivan;3;Highly Urban/ Urban;Non;50k-100k;0€-300€;Non
127724747;12;F;dev_premium;28/03/2022;Private;1;Minivan;1;Highly Urban/ Urban;Oui;0-50k;300€-600€;Non
127724754;6;F;dev_premium;26/02/2022;Private;1;Sports Car;6;Highly Urban/ Urban;Non;50k-100k;300€-600€;Non
127724761;63;M;dev_express;17/01/2022;Private;1;Van;0;Highly Urban/ Urban;Non;50k-100k;0€-300€;Non
127724768;70;F;dev_integral;16/04/2022;Private;11;Pickup;4;Highly Urban/ Urban;Non;50k-100k;0€-300€;Non
127724775;52;F;dev_integral;12/01/2022;Commercial;5;Pickup;1;z_Highly Rural/ Rural;Non;0-50k;300€-600€;Non
127724782;62;M;dev_express;23/03/2022;Private;1;Minivan;7;Highly Urban/ Urban;Non;0-50k;0€-300€;Non
127724789;37;F;dev_integral;17/04/2022;Private;6;Minivan;0;Highly Urban/ Urban;Oui;50k-100k;0€-300€;Oui
127724796;43;M;dev_integral;05/05/2022;Private;8;Van;1;Highly Urban/ Urban;Oui;50k-100k;300€-600€;Non
127724803;19;M;dev_integral;28/02/2022;Commercial;1;z_SUV;0;Highly Urban/ Urban;Non;50k-100k;300€-600€;Non
127724810;67;M;dev_integral;12/02/2022;Commercial;12;Pickup;2;Highly Urban/ Urban;Oui;0-50k;300€-600€;Non
127724817;24;F;dev_integral;07/01/2022;Private;1;Minivan;0;Highly Urban/ Urban;Oui;50k-100k;300€-600€;Non
127724824;53;M;dev_integral;07/01/2022;Private;11;Minivan;6;Highly Urban/ Urban;Non;100k-150k;300€-600€;Non
127724831;11;M;dev_express;12/01/2022;Commercial;17;Panel Truck;4;Highly Urban/ Urban;Non;200k+;0€-300€;Non
127724838;62;M;dev_premium;24/05/2022;Private;12;Minivan;1;Highly Urban/ Urban;Non;50k-100k;300€-600€;Non
127724845;25;M;dev_integral;25/03/2022;Commercial;14;Panel Truck;0;Highly Urban/ Urban;Oui;0-50k;0€-300€;Non
127724852;72;F;dev_integral;02/01/2022;Private;5;Minivan;0;Highly Urban/ Urban;Oui;0-50k;300€-600€;Oui
127724859;41;M;dev_integral;01/03/2022;Commercial;12;Minivan;1;z_Highly Rural/ Rural;Oui;50k-100k;300€-600€;Non
127724866;58;F;dev_express;28/01/2022;Private;11;Minivan;5;Highly Urban/ Urban;Oui;100k-150k;0€-300€;Non
127724873;92;M;dev_premium;29/04/2022;Private;9;z_SUV;0;Highly Urban/ Urban;Non;0-50k;300€-600€;Non
127724880;54;M;dev_integral;20/01/2022;Commercial;9;z_SUV;0;Highly Urban/ Urban;Non;50k-100k;0€-300€;Non
127724887;56;M;dev_express;06/05/2022;Commercial;12;Minivan;0;Highly Urban/ Urban;Oui;100k-150k;0€-300€;Oui
127724894;70;M;dev_express;14/03/2022;Private;8;z_SUV;0;Highly Urban/ Urban;Oui;0-50k;0€-300€;Non
127724901;66;F;dev_express;20/03/2022;Commercial;6;Minivan;2;Highly Urban/ Urban;Oui;0-50k;0€-300€;Non
127724908;57;F;dev_premium;18/01/2022;Private;14;z_SUV;0;Highly Urban/ Urban;Non;50k-100k;300€-600€;Non
127724915;52;F;dev_premium;23/01/2022;Private;1;Minivan;0;z_Highly Rural/ Rural;Oui;0-50k;300€-600€;Oui
127724922;79;F;dev_express;07/01/2022;Private;11;Sports Car;0;z_Highly Rural/ Rural;Oui;0-50k;0€-300€;Oui
127724929;62;F;dev_integral;02/01/2022;Private;7;Pickup;0;Highly Urban/ Urban;Oui;0-50k;300€-600€;Oui
127724936;9;M;dev_integral;23/05/2022;Commercial;1;Sports Car;2;Highly Urban/ Urban;Oui;50k-100k;300€-600€;Oui
127724943;4;M;dev_integral;29/05/2022;Private;15;Minivan;0;Highly Urban/ Urban;Non;50k-100k;300€-600€;Non
127724950;71;M;dev_integral;09/02/2022;Private;13;z_SUV;0;z_Highly Rural/ Rural;Non;0-50k;300€-600€;Non
127724957;58;M;dev_express;17/02/2022;Private;11;Minivan;2;Highly Urban/ Urban;Oui;50k-100k;0€-300€;Non
127724964;71;M;dev_integral;06/05/2022;Private;12;z_SUV;0;Highly Urban/ Urban;Non;100k-150k;300€-600€;Non
127724971;49;F;dev_integral;25/01/2022;Private;11;Pickup;0;Highly Urban/ Urban;Non;50k-100k;300€-600€;Non
127724978;30;F;dev_integral;01/01/2022;Private;9;Van;4;Highly Urban/ Urban;Oui;0-50k;300€-600€;Non
127724985;34;M;dev_integral;02/04/2022;Private;8;Minivan;0;Highly Urban/ Urban;Non;50k-100k;0€-300€;Non
127724992;70;M;dev_integral;14/04/2022;Private;1;Minivan;2;Highly Urban/ Urban;Non;100k-150k;0€-300€;Non
127724999;17;M;dev_express;07/03/2022;Commercial;1;Minivan;7;z_Highly Rural/ Rural;Non;0-50k;0€-300€;Non
127725006;22;M;dev_premium;04/04/2022;Commercial;1;Sports Car;1;Highly Urban/ Urban;Non;50k-100k;300€-600€;Non
127725013;60;M;dev_express;20/04/2022;Private;13;Minivan;1;Highly Urban/ Urban;Non;100k-150k;0€-300€;Non
127725020;70;F;dev_express;25/02/2022;Private;13;Sports Car;0;Highly Urban/ Urban;Oui;0-50k;0€-300€;Non
127725027;72;F;dev_vip;28/05/2022;Private;9;Minivan;8;Highly Urban/ Urban;Oui;0-50k;600€-900€;Non
127725034;9;M;dev_express;18/03/2022;Private;1;z_SUV;0;z_Highly Rural/ Rural;Oui;0-50k;0€-300€;Non
127725041;56;M;dev_express;25/02/2022;Private;5;Minivan;3;Highly Urban/ Urban;Non;0-50k;0€-300€;Non
127725048;5;F;dev_integral;08/04/2022;Private;9;z_SUV;0;Highly Urban/ Urban;Oui;0-50k;0€-300€;Oui
127725055;92;F;dev_integral;01/05/2022;Private;16;Minivan;0;Highly Urban/ Urban;Oui;50k-100k;300€-600€;Non
127725062;13;M;dev_integral;27/03/2022;Commercial;15;Van;2;Highly Urban/ Urban;Non;0-50k;300€-600€;Non
127725069;37;M;dev_express;11/05/2022;Commercial;9;Van;4;Highly Urban/ Urban;Oui;100k-150k;0€-300€;Oui
127725076;53;M;dev_express;31/05/2022;Commercial;1;z_SUV;4;Highly Urban/ Urban;Oui;0-50k;0€-300€;Non
127725083;47;F;dev_premium;24/04/2022;Private;7;Sports Car;6;Highly Urban/ Urban;Oui;0-50k;300€-600€;Non
127725090;52;M;dev_integral;06/03/2022;Commercial;9;Sports Car;2;Highly Urban/ Urban;Non;50k-100k;300€-600€;Non
127725097;53;F;dev_integral;18/02/2022;Private;9;Minivan;0;Highly Urban/ Urban;Non;100k-150k;0€-300€;Non
127725104;7;F;dev_integral;05/01/2022;Private;12;Pickup;0;Highly Urban/ Urban;Oui;100k-150k;300€-600€;Non
127725111;83;M;dev_premium;19/02/2022;Private;15;z_SUV;5;Highly Urban/ Urban;Non;0-50k;300€-600€;Non
127725118;88;M;dev_express;21/05/2022;Commercial;15;z_SUV;7;Highly Urban/ Urban;Oui;0-50k;0€-300€;Non
127725125;52;M;dev_express;13/05/2022;Private;11;z_SUV;2;Highly Urban/ Urban;Non;0-50k;0€-300€;Non
127725132;62;M;dev_integral;20/02/2022;Private;7;z_SUV;0;Highly Urban/ Urban;Non;50k-100k;300€-600€;Non
127725139;42;M;dev_integral;16/04/2022;Private;10;z_SUV;1;z_Highly Rural/ Rural;Oui;0-50k;0€-300€;Oui
127725146;73;F;dev_integral;03/03/2022;Private;19;z_SUV;0;Highly Urban/ Urban;Non;50k-100k;0€-300€;Non
127725153;76;F;dev_express;26/02/2022;Private;15;Minivan;0;z_Highly Rural/ Rural;Non;50k-100k;0€-300€;Non
127725160;78;M;dev_integral;19/02/2022;Private;10;Minivan;0;Highly Urban/ Urban;Non;0-50k;300€-600€;Non
127725167;65;F;dev_express;05/03/2022;Private;5;z_SUV;2;Highly Urban/ Urban;Non;50k-100k;0€-300€;Non
127725174;61;F;dev_express;11/01/2022;Private;1;Minivan;3;Highly Urban/ Urban;Oui;0-50k;0€-300€;Non
127725181;32;M;dev_express;25/03/2022;Private;4;Minivan;1;Highly Urban/ Urban;Non;0-50k;0€-300€;Non
127725188;76;F;dev_integral;22/02/2022;Commercial;9;Pickup;0;z_Highly Rural/ Rural;Oui;0-50k;0€-300€;Non
127725195;82;M;dev_integral;14/01/2022;Commercial;12;Van;0;Highly Urban/ Urban;Oui;100k-150k;300€-600€;Oui
127725202;69;F;dev_express;08/04/2022;Private;4;Sports Car;5;Highly Urban/ Urban;Oui;0-50k;0€-300€;Non
127725209;73;M;dev_integral;17/04/2022;Private;15;Pickup;0;Highly Urban/ Urban;Non;50k-100k;300€-600€;Non
127725216;84;M;dev_integral;14/05/2022;Commercial;9;Minivan;0;z_Highly Rural/ Rural;Non;100k-150k;300€-600€;Non
127725223;65;M;dev_integral;02/02/2022;Commercial;1;z_SUV;6;Highly Urban/ Urban;Non;50k-100k;0€-300€;Non
127725230;69;M;dev_integral;21/05/2022;Private;8;Sports Car;0;Highly Urban/ Urban;Oui;50k-100k;0€-300€;Oui
127725237;33;M;dev_premium;09/03/2022;Private;12;z_SUV;2;Highly Urban/ Urban;Non;100k-150k;300€-600€;Non
127725244;49;F;dev_integral;27/02/2022;Private;12;Minivan;1;z_Highly Rural/ Rural;Oui;150k-200k;300€-600€;Oui
127725251;72;F;dev_integral;03/04/2022;Private;14;Minivan;0;Highly Urban/ Urban;Oui;0-50k;300€-600€;Non
127725258;55;F;dev_express;02/04/2022;Private;8;Sports Car;1;z_Highly Rural/ Rural;Non;0-50k;0€-300€;Non
127725265;52;F;dev_express;08/04/2022;Private;1;Minivan;1;Highly Urban/ Urban;Oui;0-50k;0€-300€;Oui
127725272;92;F;dev_integral;31/05/2022;Private;17;Sports Car;0;Highly Urban/ Urban;Oui;50k-100k;0€-300€;Non
127725279;24;F;dev_integral;16/05/2022;Commercial;4;Pickup;0;Highly Urban/ Urban;Oui;0-50k;0€-300€;Non
127725286;56;F;dev_integral;22/04/2022;Commercial;4;Panel Truck;1;Highly Urban/ Urban;Non;100k-150k;0€-300€;Non
127725293;73;F;dev_integral;30/05/2022;Commercial;11;z_SUV;2;Highly Urban/ Urban;Non;0-50k;300€-600€;Non
127725300;39;M;dev_express;01/02/2022;Private;11;Pickup;1;Highly Urban/ Urban;Oui;50k-100k;0€-300€;Non
127725307;29;F;dev_integral;31/05/2022;Commercial;1;Minivan;2;Highly Urban/ Urban;Non;0-50k;300€-600€;Non
127725314;57;M;dev_integral;16/02/2022;Commercial;11;Minivan;0;z_Highly Rural/ Rural;Non;50k-100k;300€-600€;Non
127725321;51;F;dev_integral;21/05/2022;Private;20;Minivan;0;Highly Urban/ Urban;Oui;50k-100k;300€-600€;Non
127725328;54;M;dev_express;26/04/2022;Private;1;z_SUV;2;Highly Urban/ Urban;Non;0-50k;0€-300€;Non
127725335;76;M;dev_integral;14/01/2022;Commercial;1;Pickup;6;Highly Urban/ Urban;Non;100k-150k;0€-300€;Non
127725342;59;F;dev_express;16/02/2022;Commercial;12;Van;0;Highly Urban/ Urban;Non;0-50k;0€-300€;Non
127725349;31;M;dev_express;01/01/2022;Private;16;Sports Car;0;Highly Urban/ Urban;Non;0-50k;0€-300€;Non
127725356;64;M;dev_integral;14/01/2022;Private;1;z_SUV;0;z_Highly Rural/ Rural;Oui;0-50k;0€-300€;Non
127725363;56;F;dev_premium;10/05/2022;Commercial;6;Van;0;Highly Urban/ Urban;Oui;0-50k;300€-600€;Non
127725370;82;F;dev_express;02/05/2022;Commercial;6;Pickup;1;Highly Urban/ Urban;Non;50k-100k;0€-300€;Non
127725377;25;F;dev_express;10/02/2022;Commercial;6;Van;1;z_Highly Rural/ Rural;Oui;0-50k;0€-300€;Oui
127725384;54;M;dev_integral;08/01/2022;Commercial;13;Panel Truck;0;z_Highly Rural/ Rural;Non;150k-200k;300€-600€;Non
127725391;86;F;dev_premium;12/01/2022;Private;10;Van;0;Highly Urban/ Urban;Non;100k-150k;300€-600€;Non
127725398;68;F;dev_express;27/05/2022;Private;1;Pickup;1;Highly Urban/ Urban;Non;0-50k;0€-300€;Non
127725405;24;M;dev_premium;10/04/2022;Commercial;5;z_SUV;6;Highly Urban/ Urban;Oui;0-50k;300€-600€;Oui
127725412;66;F;dev_integral;23/03/2022;Private;1;z_SUV;0;Highly Urban/ Urban;Non;0-50k;300€-600€;Non
127725419;20;F;dev_integral;24/05/2022;Private;9;z_SUV;0;Highly Urban/ Urban;Oui;0-50k;300€-600€;Non
127725426;71;F;dev_premium;05/01/2022;Private;1;z_SUV;0;Highly Urban/ Urban;Non;0-50k;300€-600€;Non
127725433;12;F;dev_vip;17/05/2022;Private;11;Minivan;0;Highly Urban/ Urban;Non;50k-100k;300€-600€;Non
127725440;49;M;dev_express;30/05/2022;Commercial;11;Van;5;Highly Urban/ Urban;Non;50k-100k;0€-300€;Non
127725447;6;M;dev_premium;25/01/2022;Private;1;Sports Car;3;Highly Urban/ Urban;Non;0-50k;300€-600€;Non
127725454;68;F;dev_integral;30/01/2022;Private;7;Sports Car;0;z_Highly Rural/ Rural;Non;100k-150k;300€-600€;Non
127725461;29;F;dev_premium;04/01/2022;Commercial;1;Panel Truck;1;Highly Urban/ Urban;Non;50k-100k;300€-600€;Non
127725468;52;F;dev_integral;11/02/2022;Private;15;z_SUV;0;Highly Urban/ Urban;Non;150k-200k;300€-600€;Non
127725475;67;F;dev_premium;07/04/2022;Private;7;Sports Car;3;Highly Urban/ Urban;Oui;50k-100k;300€-600€;Non
127725482;55;F;dev_express;09/02/2022;Private;17;Minivan;4;Highly Urban/ Urban;Oui;50k-100k;0€-300€;Non
127725489;85;M;dev_express;27/04/2022;Commercial;13;Panel Truck;2;Highly Urban/ Urban;Non;100k-150k;0€-300€;Non
127725496;50;F;dev_integral;25/05/2022;Private;4;z_SUV;0;Highly Urban/ Urban;Oui;0-50k;300€-600€;Non
127725503;66;F;dev_express;10/02/2022;Commercial;4;Minivan;0;z_Highly Rural/ Rural;Non;0-50k;0€-300€;Non
127725510;16;M;dev_express;14/03/2022;Private;8;Sports Car;9;Highly Urban/ Urban;Non;0-50k;0€-300€;Non
127725517;73;M;dev_integral;11/05/2022;Commercial;7;Pickup;4;Highly Urban/ Urban;Non;50k-100k;300€-600€;Non
127725524;64;M;dev_premium;09/04/2022;Commercial;1;Minivan;0;Highly Urban/ Urban;Oui;0-50k;300€-600€;Oui
127725531;77;F;dev_premium;14/04/2022;Commercial;14;z_SUV;2;z_Highly Rural/ Rural;Non;50k-100k;300€-600€;Non
127725538;83;M;dev_express;18/04/2022;Private;7;Sports Car;3;Highly Urban/ Urban;Oui;0-50k;0€-300€;Non
127725545;52;M;dev_express;23/03/2022;Commercial;1;Minivan;0;Highly Urban/ Urban;Non;50k-100k;0€-300€;Non
127725552;83;M;dev_integral;09/05/2022;Commercial;1;Minivan;6;Highly Urban/ Urban;Non;50k-100k;300€-600€;Non
127725559;59;M;dev_express;04/02/2022;Private;12;Minivan;0;z_Highly Rural/ Rural;Non;0-50k;0€-300€;Non
127725566;62;M;dev_premium;19/04/2022;Commercial;8;Panel Truck;1;Highly Urban/ Urban;Oui;0-50k;300€-600€;Oui
127725573;53;F;dev_integral;03/04/2022;Private;5;z_SUV;0;z_Highly Rural/ Rural;Oui;0-50k;300€-600€;Non
127725580;19;F;dev_integral;18/01/2022;Private;8;Minivan;1;z_Highly Rural/ Rural;Oui;50k-100k;0€-300€;Oui
127725587;50;F;dev_express;23/03/2022;Commercial;16;Panel Truck;1;Highly Urban/ Urban;Non;100k-150k;0€-300€;Non
127725594;64;F;dev_integral;02/05/2022;Private;16;z_SUV;1;Highly Urban/ Urban;Non;0-50k;0€-300€;Non
127725601;51;F;dev_express;19/01/2022;Commercial;5;Van;1;Highly Urban/ Urban;Non;0-50k;0€-300€;Non
127725608;57;M;dev_integral;15/02/2022;Commercial;5;Van;5;Highly Urban/ Urban;Oui;0-50k;0€-300€;Non
127725615;65;M;dev_premium;03/01/2022;Private;13;z_SUV;0;Highly Urban/ Urban;Non;100k-150k;300€-600€;Non
